Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,Article_ID
No Headline In Original,2019-02-23,International,NRC Handelsblad,News,1701,AMSTERDAM;Blz. 6,1701,"Netherlands, Kingdom of the",,,,,,"Lezing Spannende cijfers Dinsdagavond organiseert Vereniging Ons Amsterdam de lezing Spannende cijfers! , door Jeroen Slot,  Hoofd Onderzoek bij  Onderzoek, Informatie en Statistiek van de gemeente Amsterdam (OIS). Het gaat goed met Amsterdam; de stad is ongekend populair. Al een decennium lang komen er per jaar 10.000 Amsterdammers bij.  De beroepsbevolking en het aantal banen groeit nog sneller dan de bevolking als geheel. Maar het huidige succes van de stad roept ook vragen op. Hoe ziet de toekomstige stad eruit als de huidige trends van selectieve vestiging en vertrek doorzetten? Blijft de stad betaalbaar en toegankelijk voor brede groepen? Kan de openbare ruimte de groeiende stroom forensen, bezoekers en toeristen wel aan? Dinsdag 26 februari, 20.00 uur, Bibliotheek De Hallen, Hannie Dankbaarpassage 10. www.onsamsterdam.info Homo's, transgenders op het werk",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VGP-TTP1-DYMH-R28R-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2816
Transgender krijgt subsidie voor borsten,2019-02-01,International,De Telegraaf,News,97,BINNENLAND;Blz. 04,97,"Netherlands, Kingdom of the",,,,,Transgender krijgt subsidie voor borsten,"Transgender krijgt subsidie voor borsten Den Haag - Transgenders kunnen vanaf vandaag een subsidie krijgen voor  siliconenborsten. Het maximumbedrag daarvoor is iets meer dan 3800 euro. Voormalig minister Edith Schippers (Volksgezondheid) stond aan de wieg van de  borstensubsidie. Volgens haar kunnen transvrouwen ernstige belemmeringen  ervaren als zij weinig borstgroei hebben. Huidig volksgezondheidsminister Bruno Bruins is dat met haar eens. Aangezien  een borstprothese voor transgenders niet in het basispakket van de  zorgverzekering zit, trekt het Rijk de knip. Jaarlijks is er zo’n 2,8 miljoen  euro voor beschikbaar.",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VB1-DCF1-F086-H00T-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2594
Een breekbaar beeldje,2019-02-21,International,de Volkskrant,News,1288,"V Opening;Blz. 8, 9",1288,"Netherlands, Kingdom of the",BOR BEEKMAN,,,,Een breekbaar beeldje,"Een breekbaar beeldje Een host die afzegde, controversiële rollen en prijzen die dreigden te worden weggemoffeld: dit jaar was er wel heel veel gedoe over de Oscars. Gelukkig luisterde de Academy net op tijd naar (Nederlandse) cameramannen. Oscars analyse Het Gedoe Die speelden een heldenrol, op de achtergrond. Toen Academy-president John Bailey vorige week liet weten de uitreiking van vier awards (camera, montage, korte film en make-up/haar) achter de reclame te proppen, was er één vakgroep die meteen in opstand kwam. De in 1919 opgerichte American Society of Cinematographers, aangevoerd door huidig ASC -president Kees van Oostrum. De in Amsterdam geboren 65-jarige cameraman (o.a. Gettysburg, Gods and Generals) en regisseur (Het Bittere Kruid, 1985) vond snel steun voor z'n protest, van Brad Pitt tot Martin Scorsese. Ook ging Van Oostrum samen met gerenommeerde cameracollega's Emmanuel Lubezki (o.a. The Revenant) en Hoyte van Hoytema (Oscarnominatie Dunkirk) op bezoek bij de Academy: we accepteren dit niet. Vierentwintig uur later draaide de Academy het besluit terug, om aanstaande zondagnacht geen opstand te riskeren onder de genomineerden in de zaal. Áls de winnende cameralieden, editors, kappers, make-upartiesten en kortfilmers fatsoenlijk zijn, danken ze in hun toch nog live uitgezonden speeches ook even die Kees van Oostrum.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VG8-B8V1-DYRY-X2V9-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,880
"Transgender Janny, voorheen Jan, is terug op de bus",2019-03-13,International,AD/Algemeen Dagblad.nl,News,494,,494,"Netherlands, Kingdom of the",Maren Verbunt,,,,"Transgender Janny, voorheen Jan, is terug op de bus","Transgender Janny, voorheen Jan, is terug op de bus Wie een bekend ge­zicht dacht te herkennen in de Hoeksche Waard heeft gelijk: de Rotterdamse buschauffeur Janny Oldenburger (66), voorheen Jan, zit weer achter het stuur. ,,U was toch met pensioen?’’ vraagt een verbaasde reiziger in de bus uit Oud-Beijerland. Janny knikt. ,,Dat was ik ook. Maar nu werk ik af en toe weer op de bus in de Hoeksche Waard, omdat ik het werk leuk vind en zo onder de mensen blijf.’’ En meer reizigers reageren enthousiast zodra ze zien dat Janny weer achter het stuur zit.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5WG2-6JG1-JBHV-K46K-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,419
"Geslagen met riem, in naam van God",2019-03-16,International,AD/Algemeen Dagblad,News,501,Centraal Z;Blz. 2,501,"Netherlands, Kingdom of the",,,,,"Geslagen met riem, in naam van God","Geslagen met riem, in naam van God Saskia Noort schrijft op deze plek wekelijks over nieuws dat haar raakt. Saskia Noort Ik mag van collega Angela de Jong niet over tv schrijven, maar ik ga het toch doen, want ik zag iets moois en dat mag ook weleens gezegd worden. Van de EO notabene. Been There Done That, en hierin ontmoet de BN'er met een probleem een niet-BN'er met hetzelfde probleem.",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VN5-WBP1-DYRY-X36C-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,420
Welke zorg krijg je vergoed en wat betaal je zelf?,2019-03-12,International,NRC Handelsblad,News,1204,BINNENLAND;Blz. 12,1204,"Netherlands, Kingdom of the",Frederiek Weeda,,,,Welke zorg krijg je vergoed en wat betaal je zelf?,"Welke zorg krijg je vergoed en wat betaal je zelf? ABSTRACT Basisverzekering Zorgverzekeraars vergoeden behandelingen alleen bij medische noodzaak. Onterecht, vinden veel gynaecologen. ' Geen seks met een vent, dan wordt je kinderwens niet erkend '. De spandoeken van vrouwen die zaterdag meededen aan de Women's March in Amsterdam waren duidelijk: kunstmatige inseminatie moet ook voor alleenstaande en lesbische vrouwen worden vergoed. Zij zien dat als de enige manier om een kind te krijgen. Maar minister Bruins (Medische Zorg, VVD) heeft aan de Tweede Kamer juist  geschreven dat kunstmatige inseminatie voor die vrouwen, met wie medisch gezien niets mis is, níet in de basisverzekering past.",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VMC-RGK1-DYMH-R2VN-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2819
"Reality Been There, Done That NPO 3, 20.25-21.15u. Uitgelicht",2019-03-05,International,NRC,News,183,DE GIDS;Blz. 10,183,"Netherlands, Kingdom of the",,,,,"Reality Been There, Done That NPO 3, 20.25-21.15u. Uitgelicht","Reality Been There, Done That NPO 3, 20.25-21.15u. Uitgelicht Nieuw van de EO: een hulpprogramma waarin jongeren met problemen worden gekoppeld aan bekende Nederlanders die ooit hetzelfde meegemaakt hebben. Dat  doet een beetje denken aan Vier handen op één buik , het programma waarin BN'ers optrekken met   tienermoeders . Been There, Done That gaat  iedere aflevering over een andere aandoening en  begint met de 21-jarige Romy. Zij heeft anorexia en krijgt hulp van  met Dionne Slagter, bekend als YouTuber OnneDi. Dionne heeft deze eetstoornis vanaf haar puberteit ook een aantal jaar gehad en deelt haar ervaringen. Romy heeft al eerder op het randje van de dood gezeten en zit nu aan de sondevoeding. Naast anorexia zijn depressie, verslavingen, genderdysforie, adoptie en overgewicht de thema's die aan bod komen. Volgende week zien we  de ontmoeting tussen het  model Loiza Lamers en de achttienjarige Dewi, een transvrouw die aan het begin van haar transitie staat. Loiza was in 2015 de eerste transgender die de tv-talentenjacht Holland's Next Top Model won. Terwijl zij veel steun van haar familie kreeg, is dat bij Dewi niet het geval.",NRC.NEXT,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VJV-97Y1-DYMH-R176-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2818
’Het maakt veel emoties los’,2019-03-05,International,De Telegraaf,News,452,RADIOTV;Blz. 18,452,"Netherlands, Kingdom of the",,,,,’Het maakt veel emoties los’,"’Het maakt veel emoties los’ Model Loiza Lamers staat de 18-jarige Dewi bij, een transvrouw die aan het  begin van haar transitie staat. Ze kan daarbij op weinig begrip rekenen van  haar broer. Loiza pakte de kans om haar te helpen meteen aan. „Ik heb altijd  gezegd: al kan ik maar één iemand helpen met mijn verhaal, dan is er voor mij  al heel veel volbracht. En in dit programma is dat heel letterlijk het geval.  Het maakt wel veel emoties los.”",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VJV-G2G1-JCT4-T0XK-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2595
"Oprah, Fukuyama, identiteitspolitiek en Ikea -kastjes",2019-03-20,International,De Volkskrant.nl,News,733,,733,"Netherlands, Kingdom of the",Harriët Duurvoort,,,,"Oprah, Fukuyama, identiteitspolitiek en Ikea -kastjes","Oprah, Fukuyama, identiteitspolitiek en Ikea -kastjes Volgens Francis Fukuyama moet links de nationale identiteit omarmen. Weg met die vermaledijde identiteitspolitiek. Identiteitspolitiek is eigenlijk een nieuw woord voor emancipatie. Oude wijn in een nieuwe zak. Ineens is het zwaar problematisch. ‘Elke keer dat een ­samenleving wordt ­gevraagd om een groep mensen te erkennen als een groep gaat dit ten koste van hun individualiteit. Want alle leden van de groep worden dan in één hokje gestopt, alsof ze allemaal hetzelfde zijn. Dan betreed je gevaarlijk terrein’, stelt Fukuyama.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VP4-70W1-DY0X-92ND-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,890
Trumps vaandeldrager van traditionele kuisheid,2019-03-23,International,de Volkskrant,News,303,Ten Eerste;Blz. 11,303,"Netherlands, Kingdom of the",,,,,Trumps vaandeldrager van traditionele kuisheid,"Trumps vaandeldrager van traditionele kuisheid Profiel Valerie Huber De delegatie van de VS in New York wordt geleid door een geheid voorstander van seksuele onthouding. De delegatie van de VS bij de vergadering van de CSW in New York wordt geleid door een geheid voorstander van 'abstinence only' - onthouding van seks als enige methode om ongewenste zwangerschap en geslachtsziekte te voorkomen. Valerie Huber, topambtenaar op het ministerie van Gezondheid, voert een team aan van vooral vrouwen die hun sporen hebben verdiend in de beweging voor conservatieve gezinswaarden.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VPN-FXW1-JC8X-606R-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,892
Rechtszaak: werd geweld of drugs en alcohol transgender Bianca fataal?,2019-04-09,International,AD/Algemeen Dagblad.nl,News,510,,510,"Netherlands, Kingdom of the",Eric van der Vegt,,,,Rechtszaak: werd geweld of drugs en alcohol transgender Bianca fataal?,Rechtszaak: werd geweld of drugs en alcohol transgender Bianca fataal? Arnhem - Zelden zal de rechtbank een lastiger besluit hebben moeten nemen als in de zaak van de dood van transgender Bianca.  Want heeft verdachte Ferit V. haar nu wel of niet gedood? Of werden alcohol en drugs haar fataal? De aanklager twijfelde niet en eiste elf jaar cel.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VVD-01F1-DY0X-94CV-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,426
Jess Oberlin uit Eindhoven strijdt voor gelijkheid met spandex pakken en PLASMA,2019-04-26,International,AD/Algemeen Dagblad.nl,News,847,,847,"Netherlands, Kingdom of the",Anita Vliegenberg,,,,Jess Oberlin uit Eindhoven strijdt voor gelijkheid met spandex pakken en PLASMA,"Jess Oberlin uit Eindhoven strijdt voor gelijkheid met spandex pakken en PLASMA EINDHOVEN - Waarom wordt iedereen altijd in een genderrol gestopt, waarom zijn mannen en vrouwen niet gelijk, en vooral: waarom moet er anno 2019 nog gediscussieerd worden over de gelijkheid van mensen? Deze vragen houden de Canadese Jess Oberlin (34) uit Eindhoven bezig al sinds ze een klein meisje was. In het piepkleine dorpje Kars in Ottawa, Canada, waar ze als excentriek meisje tegenover de rest van het dorp stond, maar ook nu in Eindhoven. Ze strijdt voor de gelijkheid van gender-identiteiten.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5W00-KW81-DY0X-915D-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,430
Wachten om te worden wie je bent Transgenders In Irannaar buiten gaan in vrouwenkleren was vragen om problemen,2019-04-15,International,NRC Handelsblad,News,2330,VOORPAGINA;Blz. 1,2330,"Netherlands, Kingdom of the",Anne-Martijn van der Kaaden en Menno Sedee Foto's Daniel Niessen,,,,Wachten om te worden wie je bent Transgenders In Irannaar buiten gaan in vrouwenkleren was vragen om problemen,"Wachten om te worden wie je bent Transgenders In Irannaar buiten gaan in vrouwenkleren was vragen om problemen ABSTRACT Reportage Transgenderzorg Mensen die erachter komen dat hun geboortegeslacht niet overeenstemt met wie ze zijn, moeten soms twee jaar wachten op een behandeling. ,,De transgenderzorg in ons land zit volledig op slot."" Sam Vermeulen (17) is officieel man geworden. Vorige week dinsdagochtend  heeft hij op het gemeentehuis in Woerden zijn naam en geslacht laten wijzigen. Op zijn vwo-diploma komt straks zijn juiste naam te staan, bij de hogeschool kan hij zich als jongen inschrijven, in de hoop dat ongemakkelijke situaties minder zullen voorkomen. Zoals laatst, toen hij een meningokokkenvaccin ging halen en ze aan de balie vroegen of zijn gegevens klopten. ,,Ja"", had hij maar gezegd om er vanaf te zijn. ,,Maar mijn roepnaam is Sam."" Tip van z'n moeder. Op papier is Sam man, maar wanneer hij fysiek kan veranderen is onzeker. Dertig weken zou het duren tot hij terechtkon, kreeg hij te horen toen hij zich meldde bij het gendercentrum van het VUmc. Inmiddels is dat ruim zestig weken geleden, en is nog niet bekend wanneer hij met zijn behandeling kan beginnen. ,,Voor of na de zomervakantie? Ik weet het niet. Ze zijn ook heel moeilijk bereikbaar.""",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VWM-K471-JC5G-13SM-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2820
