Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Source,YearMonth,Week
"Een ‘m’ of ‘v’ volstaat niet voor Storm (36) uit Kampen, dus is de rechter aan zet: ‘Niemand hoeft mijn geslacht te bepalen’",2022-01-31,International,Algemeen Dagblad,News,644,,644,"Netherlands, Kingdom of the",Phaedra Werkhoven,,,,"Een ‘m’ of ‘v’ volstaat niet voor Storm (36) uit Kampen, dus is de rechter aan zet: ‘Niemand hoeft mijn geslacht te bepalen’","Een ‘m’ of ‘v’ volstaat niet voor Storm (36) uit Kampen, dus is de rechter aan zet: ‘Niemand hoeft mijn geslacht te bepalen’ Storm Vogel (36) wil een ‘x’ in het paspoort, zonder een deskundigenverklaring nodig te hebben. Vandaag bogen de rechters in Zwolle zich in een gesloten zitting over die vraag. ,,Het gaat om erkenning, de overheid moet dat gaan toegeven.” Storm, geboren in Kampen, meent zelf deskundig genoeg te zijn om te weten wat hun gender is. ,,Ik ga zelfs zover dat je identiteit je geslacht bepaalt, en niet andersom. Dat hoeft niemand voor mij te bepalen.” In de queer-beweging is het altijd de vraag: hoe heet je en wat zijn je voornaamwoorden? Voor Storm is dat ‘hen-hun’. Het is altijd ongemakkelijk dat hen ‘m’ of ‘v’ moet aanvinken, dat er altijd vragen zijn bij het ophalen van een pakketje, zegt Storm. ,,Dat de beleving van degene die mij ziet niet overeenkomt met wat in mijn paspoort staat. Ze nemen aan: dat is een vrouw of dat is een man.” Mannetje en vrouwtje We zitten in de rechtbank na te praten.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-01,5
"Transgenders lijken bovengemiddeld vaak slachtoffer van geweld, maar vallen bij hulp tussen wal en schip",2022-02-03,International,Algemeen Dagblad,News,505,,505,"Netherlands, Kingdom of the",Michiel van Gruijthuijsen,,,,"Transgenders lijken bovengemiddeld vaak slachtoffer van geweld, maar vallen bij hulp tussen wal en schip","Transgenders lijken bovengemiddeld vaak slachtoffer van geweld, maar vallen bij hulp tussen wal en schip Transgender personen lijken vaker dan gemiddeld slachtoffer van huiselijk geweld, maar toch komen ze maar weinig in beeld bij hulpverleners. ,,Die hulpverlener hoefde mij niet te fiksen, want het was niet hun probleem dat ik stuk was.” De hulpverlening voor transgender slachtoffers van huiselijk geweld en kindermishandeling schiet tekort, bovendien zien zij ‘zeer weinig’ transgender slachtoffers, blijkt uit onderzoek door kennisinstituut Atria. De onderzoekers hopen de preventie, opvang en aanpak van huiselijk geweld tegen transgender personen te verbeteren. ,,Uit eerder onderzoek hebben we aanleiding te veronderstellen dat transgender personen vaker te maken hebben met huiselijk geweld"" zegt onderzoeker Max de Blank die niet verder in die cijfers dook. Met het onderzoek ‘Onzichtbaar in twee werelden’ verkent Atria waarom die fysieke maar bijvoorbeeld ook psychische mishandeling vaak ‘onzichtbaar’ blijft. Beschermen Begin dit jaar overleed de transgender sekswerker Briza (40) in een Wassenaars hotel. Haar vriend zit vast op verdenking van betrokkenheid bij haar dood. ‘Onze gemeenschap moet beter beschermd worden tegen geweld’ zei COC Nederland belangenvereniging voor lhbti’s.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,5
Ellenlange wachttijden in de transzorg: ‘Dit systeem en de gevolgen ervan zijn onmenselijk’,2022-02-03,International,Algemeen Dagblad,News,994,,994,"Netherlands, Kingdom of the",Malika Sevil,,,,Ellenlange wachttijden in de transzorg: ‘Dit systeem en de gevolgen ervan zijn onmenselijk’,"Ellenlange wachttijden in de transzorg: ‘Dit systeem en de gevolgen ervan zijn onmenselijk’ De genderpoli in Amsterdam UMC is in omvang verzesvoudigd, maar het aantal aanmeldingen groeit sneller dan de zorgverleners kunnen bijbenen. Inmiddels is de wachttijd opgelopen tot tweeënhalf jaar. Een groep demonstranten is het zat en gaat zondag protesteren. Punt één op de lijst met eisen van de actiegroep Trans Zorg Nu! is kort en bondig: geen wachtlijsten. In Amsterdam UMC duurt het gemiddeld tweeënhalf jaar voordat je aan de beurt bent en bij het Radboud MC zelfs drie jaar. De actiegroep spreekt van ‘een straf van drie jaar’. ‘Dit systeem en de gevolgen ervan zijn onmenselijk,’ zo rept het actiepamflet.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,5
Gemist? Verdeeldheid Denk tot in beroepscommissie en honderden bewoners zijn brieven definitief kwijt,2022-02-03,International,Algemeen Dagblad,News,916,,916,"Netherlands, Kingdom of the",Redactie Den Haag,,,,Gemist? Verdeeldheid Denk tot in beroepscommissie en honderden bewoners zijn brieven definitief kwijt,"Gemist? Verdeeldheid Denk tot in beroepscommissie en honderden bewoners zijn brieven definitief kwijt Ben je er niet aan toegekomen om al het nieuws uit Den Haag en omstreken vandaag te volgen? Geen zorgen! Dit is het belangrijkste nieuws van donderdag 3 februari. Keihard oordeel over Denk-afluisterschandaal, meer signalen van intimidatie binnen partij Denk heeft voormalig lijsttrekker Abdoel Haryouli onterecht uit de partij geknikkerd. Dat zegt een lid van de verdeelde beroepscommissie van de partij, die keihard uithaalt omdat er geen onderzoek is ingesteld naar de afluisterpraktijken en zegt méér signalen te krijgen van intimidatie en inmenging door de Tweede Kamerfractie.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,5
"Jo-enny en Ad schitteren in tv-serie Naar bed: ‘Ik heb expres een lelijke uitgezocht, die lopen niet weg’",2022-02-03,International,Algemeen Dagblad,News,609,,609,"Netherlands, Kingdom of the",Marlene Nass,,,,"Jo-enny en Ad schitteren in tv-serie Naar bed: ‘Ik heb expres een lelijke uitgezocht, die lopen niet weg’","Jo-enny en Ad schitteren in tv-serie Naar bed: ‘Ik heb expres een lelijke uitgezocht, die lopen niet weg’ Jo-enny en Ad Simonis uit Dussen laten op tv zien dat een koppel met een bijzonder verhaal een heel gewoon leven leidt. In de VPRO-serie Naar bed vertellen ze vanuit hun slaapkamer over hun relatie, net als de vele andere paren in de serie.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,5
Non-binaire LeDuc schaatst heilige kunstrijhuisjes omver,2022-02-07,International,Algemeen Dagblad,News,705,Sportwereld;Blz. 9,705,"Netherlands, Kingdom of the",ARJAN SCHOUTEN,,,,Non-binaire LeDuc schaatst heilige kunstrijhuisjes omver,"Non-binaire LeDuc schaatst heilige kunstrijhuisjes omver In de traditionele wereld van het kunstschaatsen probeert een Amerikaans duo taboes te doorbreken. Timothy LeDuc is in Peking de eerste non-binaire atleet ooit op de Winterspelen. ,,Ik hoop dat mijn openheid hier het begrip vergroot."" Op de website van de Olympische Spelen staat achter de naam van Timothy LeDuc de volgende info: Gender: Male. Maar zo eenvoudig is het voor de Amerikaanse kunstschaatser zelf niet. Sinds 2021 gaat LeDuc (31) als non-binair door het leven. In Peking is LeDuc, die een paar vormt met Ashley Cain-Gribble (26), de eerste non-binaire olympiër op de Winterspelen ooit. En dat verhaal gaat de wereld over, zeker in een sport waar de rollen zo overduidelijk zijn.",AD/Algemeen Dagblad,Krant,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
Non-binaire Timothy LeDuc schaatst heilige huisjes omver: ‘Mensen hadden altijd iets aan te merken’,2022-02-07,International,Algemeen Dagblad,News,696,,696,"Netherlands, Kingdom of the",Arjan Schouten,,,,Non-binaire Timothy LeDuc schaatst heilige huisjes omver: ‘Mensen hadden altijd iets aan te merken’,"Non-binaire Timothy LeDuc schaatst heilige huisjes omver: ‘Mensen hadden altijd iets aan te merken’ In de traditionele wereld van het kunstschaatsen probeert een Amerikaans duo taboes te doorbreken. Timothy LeDuc is in Peking de eerste non-binaire atleet ooit op de Winterspelen. ,,Ik hoop dat mijn openheid hier het begrip vergroot.” Door Arjan Schouten Op de website van de Olympische Spelen staat achter de naam van Timothy LeDuc de volgende info: Gender: Male. Maar zo eenvoudig is het voor de Amerikaanse kunstschaatser zelf niet. Sinds 2021 gaat LeDuc (31) als non-binair door het leven. In Peking is LeDuc, die een paar vormt met Ashley Cain-Gribble (26), de eerste non-binaire olympiër op de Winterspelen ooit. En dat verhaal gaat de wereld over, zeker in een sport waar de rollen zo overduidelijk zijn.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
"Eis: 1,5 jaar cel voor uitbuiting van transgender prostituee Maria (32) uit Brazilië",2022-02-07,International,Algemeen Dagblad,News,323,,323,"Netherlands, Kingdom of the",Hans Hemmes,,,,"Eis: 1,5 jaar cel voor uitbuiting van transgender prostituee Maria (32) uit Brazilië","Eis: 1,5 jaar cel voor uitbuiting van transgender prostituee Maria (32) uit Brazilië Het Openbaar Ministerie (OM) heeft anderhalf jaar celstraf geëist tegen Hagenaar Amir B. (25) voor het uitbuiten en beroven van de 32-jarige Maria, een Braziliaanse transgender prostituee die illegaal in Nederland was. Hij zou bij de kwetsbare vrouw alleen oog hebben gehad voor eigen winstbejag. De verdachte was afwezig op de zitting: hij zou aan buikloop lijden. De Braziliaanse Maria kwam in juni 2018 met een vals paspoort in Nederland aan, nadat zij eerder verbleef in Duitsland en Frankrijk. Ze verdiende sinds haar achttiende al als prostituee. Voor een winkel in de binnenstad hoorde Amir van haar dat ze onderdak zocht. De man, die zich Ted noemde, bood een adresje aan met een huur van 500 euro per week.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
"Doris Schillings (17) is jong in Zeeland: ‘Een film maken en dan mijn naam in de aftiteling zien, dat lijkt me zo vet!’",2022-02-09,International,Algemeen Dagblad,News,505,,505,"Netherlands, Kingdom of the",Arie Westeneng,,,,"Doris Schillings (17) is jong in Zeeland: ‘Een film maken en dan mijn naam in de aftiteling zien, dat lijkt me zo vet!’","Doris Schillings (17) is jong in Zeeland: ‘Een film maken en dan mijn naam in de aftiteling zien, dat lijkt me zo vet!’ Hoe is het om op te groeien in Zeeland? Waar houden jongeren zich mee bezig? We laten ze op deze plek aan het woord. Vandaag: Doris Schillings (17) uit Vlissingen.Wat ben je vandaag aan het doen?",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
"Transgender personen wachten jaren op zorg: ‘Heb geprobeerd meisje te zijn, maar ben ik gewoon niet’",2022-02-12,International,Algemeen Dagblad,News,2338,,2338,"Netherlands, Kingdom of the",Sandra Bats & Judith Kutschenreuter <,,,,"Transgender personen wachten jaren op zorg: ‘Heb geprobeerd meisje te zijn, maar ben ik gewoon niet’","Transgender personen wachten jaren op zorg: ‘Heb geprobeerd meisje te zijn, maar ben ik gewoon niet’ Wat als je geboren bent in het lichaam van een vrouw, maar je voelt je eigenlijk een man, of non-binair? Als je kiest voor transitie kun je worden geconfronteerd worden met enorm lange wachttijden. Vier transgender personen aan het woord over hun ervaringen met de trans zorg. ‘Ik heb geen probleem met mijn penis’ Liz van der Jagt (22) studeert Industrial Design en een minor onderwijskunde aan de TU Eindhoven. Ze is bij de geboorte aangegeven als jongen, maar start binnenkort haar transitie naar vrouw. ‘Wachten is ,,Ik heb mijn vriendin als eerste verteld dat ik transgender ben. Daarna mijn vrienden en ouders. Zo’n gesprek is ongemakkelijk. Al ben ik thuis vrij opgevoed.” ,,Ik ben biseksueel. Dan kwam ik bijvoorbeeld thuis van het stappen en vertelde ik mijn moeder dat ik heerlijk had staan zoenen met een jongen. Mijn ouders vonden dat niet gek.” ,,Als kind dacht ik al dat ik anders was, maar waarom wist ik niet. Ik wuifde deze gedachten weg. Een aantal jaren geleden begon ik daarom fanatiek te sporten. Ik heb alles uit mijn lichaam gehaald. Ik dacht namelijk als ik gespierder ben dan voel ik me beter over mijn lichaam. Dat was niet zo.” ,,Ik kon veel nadenken toen ik thuiszat door corona.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
Deze drie Zeeuwse jongeren zetten zich in voor een betere wereld: ‘Ruim allemaal je troep op’,2022-02-12,International,Algemeen Dagblad,News,1074,,1074,"Netherlands, Kingdom of the",Lizenka van Essen,,,,Deze drie Zeeuwse jongeren zetten zich in voor een betere wereld: ‘Ruim allemaal je troep op’,"Deze drie Zeeuwse jongeren zetten zich in voor een betere wereld: ‘Ruim allemaal je troep op’ VLISSINGEN - Abigail (16) uit Zierikzee, Christy (23) uit Middelburg en Eva (19) uit Terneuzen zetten zich in voor een betere wereld. Ze geloven dat zij het verschil kunnen maken. ,,Ruim allemaal je troep op als je op straat loopt, dat is een mooi begin.” Abigail Klein (16) uit Zierikzee was al op jonge leeftijd bewust bezig met een duurzamere planeet. Vorig jaar heeft ze - samen met twaalf andere jongeren uit heel Nederland - drie weken lang een CO2-neutrale zeilreis gemaakt van Zierikzee tot Den Helder. Ze bezocht windparken, zeewierfarms en andere duurzame initiatieven. ,,Ik wilde graag meer leren over duurzaamheid. Kijken hoe wij hier als groep en individu ons steentje aan bij kunnen bijdragen. Tijdens deze reis leerde ik elke dag iets nieuws, dat inspireerde me.” Veganistisch eten Na haar zeilreis is Abigail bewuster na gaan denken over het klimaat. ,,Na die weken heb ik veel onderzoek gedaan. De documentaires die ik heb gezien over de vleesindustrie en visserij vond ik zo heftig, dat ik besloot flexitariër te worden. Ik eet nu nauwelijks vlees of vis en soms eet ik zelfs veganistisch.” Abigail probeert de plasticsoep in de oceaan te beperken door plasticvrije producten te kopen en deel te nemen aan opruimacties. Zo heeft ze laatst op het strandje bij Ouwerkerk afval opgeruimd, samen met haar moeder en zusje. Non-binair In de documentaire vragen jongeren aandacht voor schijnbaar uiteenlopende problemen: klimaatontwrichting, voedselonzekerheid, en sociale onrechtvaardigheid.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,6
Moordverdachte en laatste klant van transseksuele prostituee Bijlmerpark voorlopig vrij,2022-02-15,International,Algemeen Dagblad,News,433,,433,"Netherlands, Kingdom of the",Het Parool,,,,Moordverdachte en laatste klant van transseksuele prostituee Bijlmerpark voorlopig vrij,"Moordverdachte en laatste klant van transseksuele prostituee Bijlmerpark voorlopig vrij De rechtbank in Amsterdam heeft dinsdag bepaald dat de 61-jarige Amerikaan Von F., die wordt verdacht van de moord op de Amsterdamse transseksuele prostituee Yvette Looijs in 2003, voorlopig op vrije voeten komt. F., die elke betrokkenheid bij de moord ontkent, zit al zeventien maanden vast. Er is geen zicht op een enigszins spoedige inhoudelijke behandeling van zijn zaak. De rechtbank vindt daarom dat F. zijn proces in vrijheid moet kunnen afwachten. Het Openbaar Ministerie had F. in de cel willen houden.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,7
Nieuw-Zeeland maakt ‘homogenezing’ strafbaar,2022-02-16,International,Algemeen Dagblad,News,198,,198,"Netherlands, Kingdom of the",Redactie,,,,Nieuw-Zeeland maakt ‘homogenezing’ strafbaar,Nieuw-Zeeland maakt ‘homogenezing’ strafbaar Nieuw-Zeeland heeft een wet aangenomen die ‘homogenezing’ verbiedt. De nieuwe wet maakt het strafbaar om te proberen iemands seksuele geaardheid of genderidentiteit te veranderen of te onderdrukken. Overtreding van de wet kan leiden tot gevangenisstraf van maximaal vijf jaar.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2022-02,7
