Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,YearMonth,Article_ID
’In een paar jaar tijd had ik een schuld van 30.000 euro opgebouwd’ VROUW Glossy,2023-05-01,International,De Telegraaf.nl,News,1805,VROUW; GLOSSY,1805,"Netherlands, Kingdom of the",Vivienne Groenewoud,,,,’In een paar jaar tijd had ik een schuld van 30.000 euro opgebouwd’ VROUW Glossy,"’In een paar jaar tijd had ik een schuld van 30.000 euro opgebouwd’ VROUW Glossy Van financiële ramp naar financieel coach. Klinkt bijzonder, toch? Maar het wordt nog gekker. Voor journalist Vivienne Groenewoud begon het allemaal met een andere mindset. Die van Super Mario. Wanneer het gaat om financiële opvoeding, heb ik niet zo’n best track record. Mijn ouders scheidden toen ik zeven jaar oud was en aangezien mijn moeder van een dermate uitbundige schoonheid was dat ze niet alleen een behoorlijk centje als model binnenhengelde, maar er ook altijd wel een of andere vermogende man klaarstond om haar natje en droogje te betalen, wist ik niet beter dat extra geld nooit verder dan op een wimperwappertje afstand was. Mijn favoriete jeugdherinnering? Nooit een rekening hoeven betalen.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:684M-DGW1-DY4K-S4DT-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2023-05,1400
Gevluchte lhbti'ers hebben in Turkije geen leven en geen toekomst,2021-05-18,International,de Volkskrant,News,1695,"Ten Eerste;Blz. 18, 19",1695,"Netherlands, Kingdom of the",ROB VREEKEN,,,,Gevluchte lhbti'ers hebben in Turkije geen leven en geen toekomst,"Gevluchte lhbti'ers hebben in Turkije geen leven en geen toekomst De Europese Unie en Turkije onderhandelen over de verlenging van hun historische deal, die ruim vier miljoen vluchtelingen in Turkije moet houden. De lhbti'ers in deze groep dragen een dubbele last - zij worden ook door hun lotgenoten uitgekotst en willen er bijna allemaal weg. Homo- en transfobie Alle vluchtelingen zijn kwetsbaar, maar sommige vluchtelingen zijn kwetsbaarder dan andere. Terwijl de EU en Turkije praten over verlenging van hun historische deal, met als doel ruim vier miljoen vluchtelingen op fatsoenlijke wijze in Turkije te houden, is er één groep voor wie dat een onleefbaar perspectief is: de lhbti-vluchtelingen.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62PD-9RV1-JC8X-6110-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2021-05,1120
‘In het genderdebat lijkt alleen het zelfgevoel nog te tellen’,2022-03-18,International,NRC.nl,News,1991,,1991,"Netherlands, Kingdom of the",Sjoerd de Jong,,,,‘In het genderdebat lijkt alleen het zelfgevoel nog te tellen’,"‘In het genderdebat lijkt alleen het zelfgevoel nog te tellen’ Lang werd iemands gender bepaald door uiterlijke kenmerken, maar tegenwoordig gaat het om de hoogst persoonlijke beleving van het individu, ziet hoogleraar Geertje Mak. Ooit een Vollmann of een Vollweib gezien, behalve in de spiegel? Een man of vrouw die vollédig, in elke vezel en haarvat, ‘m’ of’ v’ is? Met alle fysieke, psychologische en sociale kenmerken die bij een van die etiketten zouden horen? Natuurlijk is niemand zo, zegt hoogleraar genderstudies Geertje Mak in haar werkkamer in Amsterdam. Geen mens past naadloos in die twee culturele kleedhokjes. Voor Mak, die historisch onderzoek doet naar sekse (geslacht) en gender (sociaal-culturele en psychische mannelijkheid en vrouwelijkheid), roept dat meteen de vraag op of het wel zinvol is om er dan maar extra hokjes bij te verzinnen, die weer nieuwe tegenstellingen creëren. Zoals ‘non-binair’, dat kan suggereren dat niet -non-binaire anderen kennelijk wel Vollmänner of Vollweiber zijn.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:651C-PBT1-DY4K-82HY-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2022-03,1640
"Hanna van Vliet: ‘Als mensen niet met mij willen werken, hoef ik ook niet met hen’",2021-10-11,International,NRC.nl,News,2208,,2208,"Netherlands, Kingdom of the",Kim Bos,,,,"Hanna van Vliet: ‘Als mensen niet met mij willen werken, hoef ik ook niet met hen’","Hanna van Vliet: ‘Als mensen niet met mij willen werken, hoef ik ook niet met hen’ Hanna van Vliet (29), actrice, kan sinds haar coming-out moeilijk vakantie nemen van haar activisme. „Ik wil en kan mijn mond nu niet meer houden als ik voel dat iets niet goed zit.” Haar vrienden noemen ’m „het vingertje van Hanna”: de wijsvinger die omhoogkomt en halverwege haar gezicht blijft hangen als ze wil aangeven dat er volgens haar iets loos is. „Nou ja, nou ja, als ik iets wil nuancéren”, verduidelijkt ze, omdat haar vingertje niet moet overkomen als betweterig. Het vingertje uit zich ook regelmatig digitaal, in mails naar castingdirectors, producenten en andere belangrijke mensen in de filmwereld.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63TR-M411-DY4K-818C-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2021-10,3063
Ik zat in een glazen kast',2019-01-28,International,de Volkskrant,News,1187,"Ten Eerste;Blz. 14, 15",1187,"Netherlands, Kingdom of the",DOOR BART DIRKS FOTO MARLENA WALDTHAUSEN,,,,Ik zat in een glazen kast',"Ik zat in een glazen kast' Het COC reikte zondag de Bob Angelo-penning uit aan Kevin Jennings. De Amerikaan begon in 1988 een netwerk van homo's en hetero's op zijn school. Het werd een wereldwijde beweging. Interview Kevin Jennings, oprichter Gay Straight Alliance Zondag kreeg Kevin Jennings (55) van COC Nederland de Bob Angelo-penning. Jennings richtte ruim dertig jaar geleden de eerste Gay Straight Alliance op. GSA's zijn clubjes op scholen van lhbti'ers en heteroseksuele 'bondgenoten' die samen aan acceptatie werken. Inmiddels zijn er wereldwijd vele duizenden GSA-netwerken; in Nederland op negenhonderd middelbare scholen en mbo's. Ze organiseren onder andere Paarse Vrijdag, een dag waarop leerlingen en docenten paars dragen om te laten zien dat seksuele diversiteit normaal is.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5V95-1TN1-DYRY-X50V-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2019-01,879
"Transgender eist excuses overheid: ‘Om vrouw te worden, moest ik me laten steriliseren’",2020-02-16,International,De Volkskrant.nl,News,1076,,1076,"Netherlands, Kingdom of the",Marieke de Ruiter,,,,"Transgender eist excuses overheid: ‘Om vrouw te worden, moest ik me laten steriliseren’","Transgender eist excuses overheid: ‘Om vrouw te worden, moest ik me laten steriliseren’ Willemijn van Kempen wist al op jonge leeftijd dat ze eigenlijk geen man was. Maar om echt vrouw te mogen worden, moest ze zich verplicht laten steriliseren – zo stond dat tot 2014 in de wet. Nu strijdt ze voor erkenning van het haar aangedane leed.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5Y78-D221-JBHV-K3RK-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2020-02,993
Amsterdam blijft wijziging geslacht in paspoort vergoeden ‘tot invoering nieuwe Transgenderwet’,2024-04-24,International,AD/Algemeen Dagblad.nl,News,496,,496,"Netherlands, Kingdom of the",Olaf Heyblom,,,,Amsterdam blijft wijziging geslacht in paspoort vergoeden ‘tot invoering nieuwe Transgenderwet’,"Amsterdam blijft wijziging geslacht in paspoort vergoeden ‘tot invoering nieuwe Transgenderwet’ De gemeente Amsterdam blijft de kosten voor een geslachtswijziging in het paspoort vergoeden, tot de nieuwe Transgenderwet wordt ingevoerd. Een meerderheid van Tweede Kamer wil juist dat de behandeling over versoepeling van die wet wordt afgeblazen.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BW5-DG31-JBHV-K2V9-00000-00&context=1519360&sourcegroupingtype=G,AD 2024 hele sample.XLSX,Algemeen Dagblad,2024-04,2181
Profiel: Ali Niknam en Bunq gaan naar Parijs,2021-06-02,International,De Telegraaf.nl,News,377,DFT; DFT/NIEUWS,377,"Netherlands, Kingdom of the",Ruben Eg,,,,Profiel: Ali Niknam en Bunq gaan naar Parijs,"Profiel: Ali Niknam en Bunq gaan naar Parijs Medewerkers van Bunq keken verrast op toen zij op een dag een bekend persoon op de bank bij de koffiehoek zagen wachten. Toenmalig ceo Ralph Hamers van ING kwam eens een kijkje nemen bij de jonge internetbank Bunq. Maar zoals bij alle afspraken, moest ook deze even wachten tot oprichter Ali Nikham was uitgeprogrammeerd.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62TR-MK31-JBNJ-20SC-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2021-06,2718
Bonte debuutroman over een dappere trans vrouw.,2024-03-09,International,de Volkskrant,News,225,Boeken en Wetenschap;Blz. 24,225,"Netherlands, Kingdom of the",MAARTEN STEENMEIJER,,,,Bonte debuutroman over een dappere trans vrouw.,"Bonte debuutroman over een dappere trans vrouw. Alejandro is geboren in een jongenslichaam maar voelt zich vrouw. Het lukt haar maar niet om uit de kast te komen, bang als ze is dat ze dan de liefde, steun en veiligheid kwijtraakt van het warme Madrileense arbeidersnest waarin ze opgroeit. Ze vreest te zullen eindigen als Margarita, een arme, eenzame trans vrouw uit de buurt. Ook loopt ze vast op rolmodellen als Amanda Lear, Tula Cossey en andere glamourvolle travestieten en transseksuelen, want die worden 'als een soort ziekte (...) beschouwd'. Alleen met de Amerikaanse jongen Jay kan ze, 14 jaar oud, heel even zichzelf zijn, totdat de 'ontmaskering' van hun relatie daar abrupt een einde aan maakt. Pas twee decennia later lukt het haar om in alle vrijheid zichzelf te zijn. Ironisch genoeg heeft ze dat te danken aan Margarita, de inmiddels doodzieke trans vrouw uit de buurt voor wie ze gaat zorgen. Slechte gewoontes, de debuutroman van de Madrileense trans vrouw Alana S. Portero, vertelt het bonte verhaal van een lange leerschool in moed. Het euforische einde ('Ik was alle vrouwen') is recht evenredig met het grote verlangen om uit de kooi te komen waarin ze bijna een half leven gevangen heeft gezeten. Alana S. Portero Slechte gewoontes Uit het Spaans vertaald door Annet van der Heijden en Alyssia Sebes. Meridiaan; 246 pagina's; € 22,99.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BH8-KRV1-DYRY-X134-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2022-2024 201-500.XLSX,Volkskrant,2024-03,2472
Een hen is een vrouwelijke kip. Ze mogen dan wel academisch zijn maar dit is een nogal domme keuze,2021-07-22,International,AD/Algemeen Dagblad.nl,News,417,,417,"Netherlands, Kingdom of the",Sjaak Bral,,,,Een hen is een vrouwelijke kip. Ze mogen dan wel academisch zijn maar dit is een nogal domme keuze,Een hen is een vrouwelijke kip. Ze mogen dan wel academisch zijn maar dit is een nogal domme keuze Het ministerie van OCW heeft een ‘handreiking’ gemaakt om universiteiten  diverser te maken. Deze handreiking is gemaakt omdat de Europese Unie ‘vergroting van de diversiteit’ als voorwaarde stelt aan onderzoekssubsidies.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:636C-6WY1-JBHV-K16N-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,2021-07,768
Vrijheid of pressie,2021-11-13,International,NRC,News,1340,WETENSCHAP;Blz. 6,1340,"Netherlands, Kingdom of the",Bart Funnekotter,,,,Vrijheid of pressie,"Vrijheid of pressie ABSTRACT Psychologie Het aantal jongeren groeit dat zich identificeert als transgender of non-binair. Is dat sociale druk of durven ze het tegenwoordig gewoon te zeggen? Sociale besmetting, zo kan je de Engelse term peer contagion waarschijnlijk het best vertalen. In 2018 opperde Lisa Littman, destijds onderzoeker bij de Brown University School of Public Health, in een artikel in het tijdschrift PLOS ONE dat Amerikaanse pubers opgejut door hun sociale omgeving uit de kast kwamen als transgender, terwijl ze dat volgens hun ouders niet waren. Het zou vooral om geestelijk kwetsbare meisjes gaan die nog nooit iets hadden laten blijken van ongemak met hun lichaam, maar nu 'opeens' hun borsten insnoerden en vroegen om hormoonmedicatie en operaties. Dat zou allemaal het gevolg zijn van langdurig verblijf binnen een (digitale) omgeving die dit soort transities stimuleert, stelde Littman. Volgens haar was dit de verklaring voor de enorme stijging in het aantal meldingen in de VS van kinderen die zich als transgender manifesteerden. Littman bedacht een term voor de door haar geconstateerde aandoening: rapid-onset gender dysphoria. Genderdysforie is een gevoel van onvrede met het biologische geslacht waarmee je geboren bent. (De Wereldgezondheidsorganisatie WHO heeft onlangs besloten dat het beter is om te spreken over genderincongruentie en wil daarmee het fenomeen van verplaatsen van de categorie 'mentale aandoeningen' naar de categorie 'seksuele gezondheid'.) Volgens Littman bestond er dus een snel opkomende variant van genderdysforie, die zich vooral verspreidde onder mentaal kwetsbare vrouwelijke adolescenten.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:642N-M3Y1-F03R-S1YX-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2021-11,3107
Straf Utrechter (20) voor bedreigen Baudet en Wilders: ‘Natuurlijk wil ik ze niet om het leven brengen’,2024-03-19,International,AD/Algemeen Dagblad.nl,News,637,,637,"Netherlands, Kingdom of the",Jeffrey Stevens,,,,Straf Utrechter (20) voor bedreigen Baudet en Wilders: ‘Natuurlijk wil ik ze niet om het leven brengen’,"Straf Utrechter (20) voor bedreigen Baudet en Wilders: ‘Natuurlijk wil ik ze niet om het leven brengen’ Een 20-jarige Utrechter moest zich dinsdag bij de rechter verantwoorden voor het bedreigen van Geert Wilders en Thierry Baudet. Zij deden beiden aangifte tegen hem vanwege leuzen die hij scandeerde op een demonstratie. Maar volgens de man hebben de politici zijn woorden verkeerd opgevat. ,,Natuurlijk wil ik ze niet om het leven brengen.” De 20-jarige M.B. is zaterdag 18 november 2023 aanwezig bij een demonstratie tegen transhaat. Het protest is bedoeld om een tegengeluid te bieden bij een manifestatie op het Paardenveld voor vrouwenrechten onder de noemer ‘Let Women Speak’.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BKH-4671-JBHV-K03T-00000-00&context=1519360&sourcegroupingtype=G,AD 2024 hele sample.XLSX,Algemeen Dagblad,2024-03,2144
Wegwijs,2023-07-22,International,AD/Algemeen Dagblad,News,231,"Z Weekend;Blz. 6, 7",231,"Netherlands, Kingdom of the",,,,,Wegwijs,"Wegwijs Wat betekent queer eigenlijk precies? En wat is cisgender? Voor mensen die deel uitmaken van de 'community', is het (meestal) gesneden koek. Voor anderen is het een doolhof aan termen en afkortingen. Queer: Een parapluterm. Dat maakt het woord handig en verwarrend tegelijk. Het wordt gebruikt voor en door mensen die zichzelf niet willen identificeren met een vaststaande gender- of seksuele oriëntatie. Letterlijk vertaald uit het Engels betekent het 'raar' en het was in het Verenigd Koninkrijk ook lang een scheldwoord. Nu is het een geuzennaam, ook gebruikt door mensen om zich af te zetten tegen het denken in heteroseksuele en genderhokjes, en vaak gekoppeld aan sociaal-maatschappelijk activisme. De Q kan ook nog staan voor questioning: iemand is nog niet zeker over diens seksuele oriëntatie. Cisgender: Iemand bij wie de genderidentiteit overeenkomt met het geboortegeslacht. Wordt in de community vaak gebruikt als tegenhanger van transgender. Cis is Latijn voor 'aan deze kant', trans is Latijn voor 'aan de andere kant'. Non-binair: Iemand die zich niet exclusief identificeert als man of vrouw. Non-binaire mensen (maar ook weer niet allemaal) willen liever niet als hem of haar worden aangesproken. Als oplossing wordt dan vaak hun, hen, die of diens gebruikt. Pride: In veel landen staat de Pride van oudsher voor een (politieke) demonstratie om aandacht te vragen voor rechten voor homoseksuelen, lesbiennes en transgenders. In Nederland onlosmakelijk verbonden met het jaarlijkse feest en de Canal Parade in Amsterdam.",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68S1-BJG1-JC8X-638J-00000-00&context=1519360&sourcegroupingtype=G,AD 2022-2023 hele sample.XLSX,Algemeen Dagblad,2023-07,323
Verdubbeling aantal geslachtsveranderingen Rusland: vluchten mannen voor mobilisatie?,2023-02-16,International,De Telegraaf.nl,News,599,BUITENLAND; FRONTPAGE,599,"Netherlands, Kingdom of the",Mischa van Diepen,,,,Verdubbeling aantal geslachtsveranderingen Rusland: vluchten mannen voor mobilisatie?,Verdubbeling aantal geslachtsveranderingen Rusland: vluchten mannen voor mobilisatie? De oorlog tegen Oekraïne heeft in Rusland een onverwacht gevolg: het aantal transgenders is op papier gestegen. Sinds de invasie hebben ongeveer twee keer zo veel Russen het geslacht in hun documenten laten veranderen. Dat meldt de Russische site Mediazona op basis van cijfers van het Russische ministerie van Binnenlandse Zaken.,De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:67JV-X2B1-JBNJ-22PN-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2023-02,1370
